UNIPROT.K562	gene_name	mf	method.K562	final_score.K562	UNIPROT.LAMA84	method.LAMA84	final_score.LAMA84	conc
NA	NCF4	other	NA	NA	Q15080	proteoscore	-0.304307	NA
NA	NCKIPSD	other	NA	NA	Q9NZQ3	proteoscore	-0.257132	NA
NA	NCOA4	tf	NA	NA	Q13772	proteoscore	-0.980255	NA
NA	NCOR2	tf	NA	NA	Q9Y618	proteoscore	-0.516514	NA
NA	NCS1	other	NA	NA	P62166	proteoscore	-0.609301	NA
NA	NDC80	other	NA	NA	O14777	proteoscore	-0.877203	NA
NA	NDUFA5	other	NA	NA	Q16718	proteoscore	0.461058	NA
NA	NDUFA7	other	NA	NA	O95182	proteoscore	0.532648	NA
NA	NDUFA8	other	NA	NA	P51970	proteoscore	0.628284	NA
NA	NDUFS3	other	NA	NA	O75489	proteoscore	0.454996	NA
NA	NDUFS4	other	NA	NA	O43181	proteoscore	-0.532202	NA
NA	NDUFV3	other	NA	NA	P56181	proteoscore	-0.54059	NA
NA	NEK6	kin	NA	NA	Q9HC98	VIPER	2.283535978	NA
NA	NELFA	other	NA	NA	Q9H3P2	proteoscore	-0.285549	NA
NA	NEO1	other	NA	NA	Q92859	proteoscore	-0.690092	NA
NA	NFIC	tf	NA	NA	P08651	proteoscore	0.369863	NA
NA	NFKB1	tf	NA	NA	P19838	proteoscore	0.223214	NA
NA	NHEJ1	other	NA	NA	Q9H9Q4	proteoscore	0.663329	NA
NA	NLRX1	other	NA	NA	Q86UT6	proteoscore	0.852326	NA
NA	NMT1	other	NA	NA	P30419	proteoscore	-0.267064	NA
NA	NONO	other	NA	NA	Q15233	proteoscore	-0.362119	NA
NA	NOP53	other	NA	NA	Q9NZM5	proteoscore	-1.08814	NA
NA	NPM1	tf	NA	NA	P06748	proteoscore	-0.405414	NA
NA	NPRL2	kin	NA	NA	Q8WTW4	proteoscore	-1.36066	NA
NA	NPRL3	other	NA	NA	Q12980	proteoscore	-0.647857	NA
NA	NR1H2	tf	NA	NA	P55055	proteoscore	3.11351	NA
NA	NRBF2	other	NA	NA	Q96F24	PhosphoScore	1.95091	NA
NA	NSD1	tf	NA	NA	Q96L73	proteoscore	0.514535	NA
NA	NSD2	other	NA	NA	O96028	proteoscore	-0.948603	NA
NA	NSFL1C	other	NA	NA	Q9UNZ2	proteoscore	-0.246277	NA
NA	NSL1	other	NA	NA	Q96IY1	proteoscore	-0.399239	NA
NA	NSMCE2	other	NA	NA	Q96MF7	proteoscore	-0.475322	NA
NA	NSUN2	other	NA	NA	Q08J23	proteoscore	-0.216033	NA
NA	NTRK3	kin	NA	NA	Q16288	proteoscore	2.82644	NA
NA	NUDCD2	other	NA	NA	Q8WVJ2	proteoscore	0.359221	NA
NA	NUDT1	other	NA	NA	P36639	proteoscore	-0.972419	NA
NA	NUDT3	other	NA	NA	O95989	proteoscore	-2.08975	NA
NA	NUF2	other	NA	NA	Q9BZD4	proteoscore	-0.811568	NA
NA	NUP35	other	NA	NA	Q8NFH5	proteoscore	0.319569	NA
NA	NUP43	other	NA	NA	Q8NFH3	proteoscore	-0.499467	NA
NA	NUP85	other	NA	NA	Q9BW27	proteoscore	-0.378615	NA
NA	ORC6	other	NA	NA	Q9Y5N6	proteoscore	-1.87126	NA
NA	OTUB1	other	NA	NA	Q96FW1	PhosphoScore	1.97121	NA
NA	OTUD7B	other	NA	NA	Q6GQQ9	proteoscore	-0.964408	NA
NA	PAIP1	other	NA	NA	Q9H074	proteoscore	-0.56159	NA
NA	PAIP2	other	NA	NA	Q9BPZ3	proteoscore	-0.815505	NA
NA	PAK1	kin	NA	NA	Q13153	proteoscore	0.45188	NA
NA	PARL	other	NA	NA	Q9H300	proteoscore	0.458254	NA
NA	PARP1	other	NA	NA	P09874	PhosphoScore	-0.812187	NA
NA	PASK	kin	NA	NA	Q96RG2	proteoscore	-0.414776	NA
NA	PAXIP1	other	NA	NA	Q6ZW49	proteoscore	-0.230776	NA
NA	PBX2	tf	NA	NA	P40425	proteoscore	0.447072	NA
NA	PCBD1	tf	NA	NA	P61457	proteoscore	-0.388442	NA
NA	PCLAF	other	NA	NA	Q15004	proteoscore	-2.29853	NA
NA	PCNA	other	NA	NA	P12004	proteoscore	-1.213	NA
NA	PDCD10	other	NA	NA	Q9BUL8	proteoscore	-0.542595	NA
NA	PDCD5	other	NA	NA	O14737	proteoscore	-0.55276	NA
NA	PDIA6	other	NA	NA	Q15084	proteoscore	-0.261272	NA
NA	PDK2	kin	NA	NA	Q15119	proteoscore	1.97565	NA
NA	PDK3	kin	NA	NA	Q15120	proteoscore	0.726135	NA
NA	PDPK1	kin	NA	NA	O15530	VIPER	-1.360128053	NA
NA	PEBP1	other	NA	NA	P30086	proteoscore	0.328789	NA
NA	PEX3	other	NA	NA	P56589	proteoscore	-1.25844	NA
NA	PEX5	other	NA	NA	P50542	proteoscore	-0.476439	NA
NA	PFDN2	other	NA	NA	Q9UHV9	proteoscore	-0.397554	NA
NA	PFDN4	other	NA	NA	Q9NQP4	proteoscore	-1.04577	NA
NA	PFKFB3	kin	NA	NA	Q16875	proteoscore	-0.699639	NA
NA	PGD	other	NA	NA	P52209	proteoscore	-0.200208	NA
NA	PGK2	kin	NA	NA	P07205	proteoscore	1.10242	NA
NA	PHF12	tf	NA	NA	Q96QT6	proteoscore	-0.675862	NA
NA	PHF3	other	NA	NA	Q92576	proteoscore	-0.408194	NA
NA	PHIP	other	NA	NA	Q8WWQ0	proteoscore	0.247052	NA
NA	PHKA1	kin	NA	NA	P46020	proteoscore	0.341884	NA
NA	PI4KA	kin	NA	NA	P42356	proteoscore	-0.308027	NA
NA	PICALM	other	NA	NA	Q13492	proteoscore	-0.396121	NA
NA	PIGBOS1	other	NA	NA	A0A0B4J2F0	proteoscore	-1.36541	NA
NA	PIGO	other	NA	NA	Q8TEQ8	proteoscore	-1.09383	NA
NA	PIH1D1	tf	NA	NA	Q9NWS0	proteoscore	-0.552558	NA
NA	PIK3CA	kin	NA	NA	P42336	proteoscore	0.585998	NA
NA	PIM1	kin	NA	NA	P11309;P11309	proteoscore	-2.3621	NA
NA	PITX1	tf	NA	NA	P78337	proteoscore	0.634885	NA
NA	PLA2G4A	other	NA	NA	P47712	proteoscore	-0.359622	NA
NA	PLEC	other	NA	NA	Q15149	proteoscore	-0.626511	NA
NA	PLOD1	other	NA	NA	Q02809	proteoscore	-0.413415	NA
NA	PLSCR1	tf	NA	NA	O15162	proteoscore	-0.738689	NA
NA	PLXNA1	other	NA	NA	Q9UIW2	proteoscore	-0.955607	NA
NA	PML	tf	NA	NA	P29590;P29590	proteoscore	0.579413	NA
NA	POLB	other	NA	NA	P06746	proteoscore	1.07364	NA
NA	POLDIP3	other	NA	NA	Q9BY77	proteoscore	-0.353633	NA
NA	POLL	other	NA	NA	Q9UGP5	proteoscore	0.934038	NA
NA	POLR1H	other	NA	NA	Q9P1U0	proteoscore	-1.11692	NA
NA	POLR2C	other	NA	NA	P19387	proteoscore	0.286035	NA
NA	POLR2I	other	NA	NA	P36954	proteoscore	-0.640207	NA
NA	POLR3D	other	NA	NA	P05423	proteoscore	-0.397239	NA
NA	PPBP	other	NA	NA	P02775	proteoscore	-1.36253	NA
NA	PPCDC	other	NA	NA	Q96CD2	proteoscore	-0.42398	NA
NA	PPFIA1	other	NA	NA	Q13136	proteoscore	-1.21307	NA
NA	PPP1R12A	other	NA	NA	O14974	proteoscore	-0.384046	NA
NA	PPP1R2	other	NA	NA	P41236	proteoscore	-1.1206	NA
NA	PPP1R8	other	NA	NA	Q12972	proteoscore	-0.325576	NA
NA	PPP2CA	phos	NA	NA	P67775	VIPER	-0.087864784	NA
NA	PPP2R1A	other	NA	NA	P30153	proteoscore	-0.305492	NA
NA	PPP2R5C	other	NA	NA	Q13362	proteoscore	-0.465482	NA
NA	PPP3CA	other	NA	NA	Q08209	proteoscore	-0.507298	NA
NA	PPP4R3A	other	NA	NA	Q6IN85	proteoscore	0.380339	NA
NA	PPP5C	other	NA	NA	P53041	proteoscore	-0.302112	NA
NA	PRCC	other	NA	NA	Q92733	proteoscore	-0.781711	NA
NA	PRICKLE1	other	NA	NA	Q96MT3	proteoscore	-1.89131	NA
NA	PRKAR1A	other	NA	NA	P10644	proteoscore	-0.529525	NA
NA	PRKCI	kin	NA	NA	P41743	proteoscore	-0.71519	NA
NA	PRPF4B	kin	NA	NA	Q13523	proteoscore	-0.269787	NA
NA	PRPS1	kin	NA	NA	P60891	proteoscore	0.384041	NA
NA	PRSS21	other	NA	NA	Q9Y6M0	proteoscore	-1.20729	NA
NA	PSAT1	other	NA	NA	Q9Y617	proteoscore	-0.359197	NA
NA	PSEN1	other	NA	NA	P49768	proteoscore	-1.65702	NA
NA	PSMA1	other	NA	NA	P25786	proteoscore	-0.235882	NA
NA	PSMA4	other	NA	NA	P25789	proteoscore	-0.281119	NA
NA	PSMA6	other	NA	NA	P60900	proteoscore	-0.28478	NA
NA	PSMB1	other	NA	NA	P20618	proteoscore	-0.365129	NA
NA	PSMB2	other	NA	NA	P49721	proteoscore	-0.426985	NA
NA	PSMB7	other	NA	NA	Q99436	proteoscore	-1.44255	NA
NA	PSMC1	other	NA	NA	P62191	proteoscore	-0.321676	NA
NA	PSMC2	other	NA	NA	P35998	proteoscore	-0.314863	NA
NA	PSMC3	other	NA	NA	P17980	proteoscore	-0.243567	NA
NA	PSMC4	other	NA	NA	P43686	proteoscore	-0.328491	NA
NA	PSMC5	other	NA	NA	P62195	proteoscore	-0.368979	NA
NA	PSMC6	other	NA	NA	P62333	proteoscore	-0.299459	NA
NA	PSMD1	other	NA	NA	Q99460	proteoscore	-0.296835	NA
NA	PSMD11	other	NA	NA	O00231	proteoscore	-0.341733	NA
NA	PSMD13	other	NA	NA	Q9UNM6	proteoscore	-0.38398	NA
NA	PSMD3	other	NA	NA	O43242	proteoscore	-0.347758	NA
NA	PSMD4	other	NA	NA	P55036	proteoscore	-0.567837	NA
NA	PSMD6	other	NA	NA	Q15008	proteoscore	-0.400039	NA
NA	PTBP1	other	NA	NA	P26599	proteoscore	0.378441	NA
NA	PTPRCAP	other	NA	NA	Q14761	proteoscore	-3.11827	NA
NA	PTPRZ1	phos	NA	NA	P23471	proteoscore	-4.09377	NA
NA	PUM3	other	NA	NA	Q15397	proteoscore	-0.324552	NA
NA	PYGM	other	NA	NA	P11217	proteoscore	-2.29316	NA
NA	QARS1	other	NA	NA	P47897	proteoscore	-0.273695	NA
NA	RAB13	other	NA	NA	P51153	proteoscore	-0.396137	NA
NA	RAB6A	other	NA	NA	P20340	proteoscore	-0.403859	NA
NA	RACK1	other	NA	NA	P63244	proteoscore	-0.252381	NA
NA	RAD1	other	NA	NA	O60671	proteoscore	-0.719312	NA
NA	RAD17	other	NA	NA	O75943	proteoscore	0.315652	NA
NA	RAD51AP1	other	NA	NA	Q96B01	proteoscore	-1.78234	NA
NA	RAD51C	other	NA	NA	O43502	proteoscore	-0.483515	NA
NA	RAE1	other	NA	NA	P78406	proteoscore	0.398937	NA
NA	RALBP1	other	NA	NA	Q15311	proteoscore	-0.401721	NA
NA	RALGAPA2	other	NA	NA	Q2PPJ7	proteoscore	0.868084	NA
NA	RANGAP1	other	NA	NA	P46060	proteoscore	-0.80835	NA
NA	RAP1GDS1	other	NA	NA	P52306	proteoscore	-0.441413	NA
NA	RAPGEF1	other	NA	NA	Q13905	proteoscore	0.356585	NA
NA	RASA1	other	NA	NA	P20936	proteoscore	0.316038	NA
NA	RBBP4	other	NA	NA	Q09028	proteoscore	-0.45025	NA
NA	RBBP7	other	NA	NA	Q16576	proteoscore	-0.41766	NA
NA	RBL2	other	NA	NA	Q08999	proteoscore	0.442331	NA
NA	RBM15	other	NA	NA	Q96T37	proteoscore	0.353611	NA
NA	RBM8A	other	NA	NA	Q9Y5S9	proteoscore	-0.495414	NA
NA	RECQL4	other	NA	NA	O94761	proteoscore	-0.820113	NA
NA	REEP5	other	NA	NA	Q00765	proteoscore	-0.94234	NA
NA	REL	tf	NA	NA	Q04864	proteoscore	1.71061	NA
NA	RETREG3	other	NA	NA	Q86VR2	proteoscore	-0.603669	NA
NA	RFC1	other	NA	NA	P35251	proteoscore	-0.446233	NA
NA	RFX1	tf	NA	NA	P22670	proteoscore	0.281001	NA
NA	RFX5	tf	NA	NA	P48382	proteoscore	0.744437	NA
NA	RHOA	other	NA	NA	P61586	proteoscore	-1.12052	NA
NA	RHOH	other	NA	NA	Q15669	proteoscore	-0.598637	NA
NA	RIPK3	kin	NA	NA	Q9Y572	VIPER	0.486051091	NA
NA	RLF	tf	NA	NA	Q13129	proteoscore	-0.596794	NA
NA	RMND5A	other	NA	NA	Q9H871	proteoscore	0.617277	NA
NA	RNF146	other	NA	NA	Q9NTX7	proteoscore	-0.601809	NA
NA	RNF2	other	NA	NA	Q99496	proteoscore	-0.353213	NA
NA	RNF214	other	NA	NA	Q8ND24	proteoscore	-0.522247	NA
NA	RNF220	other	NA	NA	Q5VTB9	proteoscore	-0.916135	NA
NA	RNF31	other	NA	NA	Q96EP0	proteoscore	0.360193	NA
NA	ROBO1	other	NA	NA	Q9Y6N7	proteoscore	-1.8042	NA
NA	ROMO1	other	NA	NA	P60602	proteoscore	-0.737888	NA
NA	RP9	other	NA	NA	Q8TA86	proteoscore	-0.838298	NA
NA	RPA1	other	NA	NA	P27694	proteoscore	0.259748	NA
NA	RPL10	other	NA	NA	P27635	proteoscore	-0.580342	NA
NA	RPL12	other	NA	NA	P30050	proteoscore	-0.517458	NA
NA	RPL15	other	NA	NA	P61313	proteoscore	-0.323377	NA
NA	RPL19	other	NA	NA	P84098	proteoscore	-0.536832	NA
NA	RPL21	other	NA	NA	P46778	proteoscore	-0.414118	NA
NA	RPL22L1	other	NA	NA	Q6P5R6	proteoscore	-2.16414	NA
NA	RPL28	other	NA	NA	P46779	proteoscore	-0.376797	NA
NA	RPL35	other	NA	NA	P42766	proteoscore	-0.464149	NA
NA	RPL35A	other	NA	NA	P18077	proteoscore	-0.560396	NA
NA	RPLP2	other	NA	NA	P05387	proteoscore	-0.664774	NA
NA	RPS15A	other	NA	NA	P62244	proteoscore	-0.362536	NA
NA	RPS21	other	NA	NA	P63220	proteoscore	-0.690158	NA
NA	RPS28	other	NA	NA	P62857	proteoscore	-1.54835	NA
NA	RPS7	other	NA	NA	P62081	proteoscore	-0.409294	NA
NA	RPS9	other	NA	NA	P46781	proteoscore	-0.42923	NA
NA	RRAGC	other	NA	NA	Q9HB90	proteoscore	0.667365	NA
NA	RRAS2	other	NA	NA	P62070	proteoscore	-0.492011	NA
NA	RUNX3	tf	NA	NA	Q13761	proteoscore	-0.722441	NA
NA	S1PR4	other	NA	NA	O95977	proteoscore	-1.61368	NA
NA	SAMHD1	other	NA	NA	Q9Y3Z3	proteoscore	0.749842	NA
NA	SART1	other	NA	NA	O43290	proteoscore	-0.399009	NA
NA	SCAP	other	NA	NA	Q12770	proteoscore	-1.38102	NA
NA	SCP2	other	NA	NA	P22307	proteoscore	-0.361588	NA
NA	SDHD	other	NA	NA	O14521	proteoscore	0.51017	NA
NA	SEC14L2	other	NA	NA	O76054	proteoscore	-0.455245	NA
NA	SEC61B	other	NA	NA	P60468	proteoscore	0.80884	NA
NA	SELENOF	other	NA	NA	O60613	proteoscore	0.663604	NA
NA	SEMA4D	other	NA	NA	Q92854	proteoscore	-1.92099	NA
NA	SENP1	other	NA	NA	Q9P0U3	proteoscore	-1.72799	NA
NA	SEPTIN9	other	NA	NA	Q9UHD8	proteoscore	-0.337724	NA
NA	SF3A3	other	NA	NA	Q12874	proteoscore	-0.256474	NA
NA	SF3B2	other	NA	NA	Q13435	proteoscore	-0.330662	NA
NA	SGK3	kin	NA	NA	Q96BR1	proteoscore	-0.694066	NA
NA	SH2B3	other	NA	NA	Q9UQQ2	proteoscore	0.921779	NA
NA	SH3BP1	other	NA	NA	Q9Y3L3	proteoscore	0.626285	NA
NA	SH3GL1	other	NA	NA	Q99961	proteoscore	-0.294687	NA
NA	SIPA1L1	other	NA	NA	O43166	proteoscore	-0.358095	NA
NA	SIRT6	tf	NA	NA	Q8N6T7	proteoscore	0.484126	NA
NA	SKI	tf	NA	NA	P12755	proteoscore	-1.12599	NA
NA	SKP1	other	NA	NA	P63208	proteoscore	-0.550116	NA
NA	SLC12A4	other	NA	NA	Q9UP95	proteoscore	-0.637754	NA
NA	SLC27A4	other	NA	NA	Q6P1M0	proteoscore	-3.47317	NA
NA	SLC27A6	other	NA	NA	Q9Y2P4	proteoscore	0.394287	NA
NA	SLC29A1	other	NA	NA	Q99808	PhosphoScore	-1.28324	NA
NA	SLC39A7	other	NA	NA	Q92504	proteoscore	-1.47403	NA
NA	SLC3A2	other	NA	NA	P08195	proteoscore	-0.764097	NA
NA	SLC6A2	other	NA	NA	P23975	proteoscore	-2.35744	NA
NA	SLC9A7	other	NA	NA	Q96T83	proteoscore	-0.85134	NA
NA	SLFN11	other	NA	NA	Q7Z7L1	proteoscore	-0.545348	NA
NA	SMARCD1	tf	NA	NA	Q96GM5	proteoscore	0.307819	NA
NA	SMURF1	other	NA	NA	Q9HCE7;Q9HCE7	proteoscore	0.421217	NA
NA	SNAP23	other	NA	NA	O00161	proteoscore	-0.816859	NA
NA	SNAP29	other	NA	NA	O95721	proteoscore	-0.733843	NA
NA	SNRPA	other	NA	NA	P09012	proteoscore	0.342751	NA
NA	SNRPA1	other	NA	NA	P09661	proteoscore	0.4004	NA
NA	SNRPD1	other	NA	NA	P62314	proteoscore	0.371269	NA
NA	SNRPD3	other	NA	NA	P62318	proteoscore	0.308011	NA
NA	SNX27	other	NA	NA	Q96L92	proteoscore	0.372632	NA
NA	SNX5	other	NA	NA	Q9Y5X3	proteoscore	-0.288977	NA
NA	SOAT1	other	NA	NA	P35610	proteoscore	-0.737685	NA
NA	SOS1	other	NA	NA	Q07889	proteoscore	-0.524743	NA
NA	SP3	tf	NA	NA	Q02447	proteoscore	0.826652	NA
NA	SP4	tf	NA	NA	Q02446	proteoscore	2.02696	NA
NA	SPART	other	NA	NA	Q8N0X7	proteoscore	-0.968567	NA
NA	SPAST	other	NA	NA	Q9UBP0	proteoscore	0.365191	NA
NA	SPEN	tf	NA	NA	Q96T58	proteoscore	-0.325212	NA
NA	SPI1	tf	NA	NA	P17947	proteoscore	1.6458	NA
NA	SPTLC2	other	NA	NA	O15270	proteoscore	-0.379491	NA
NA	SQLE	other	NA	NA	Q14534	proteoscore	-1.06144	NA
NA	SRCAP	tf	NA	NA	Q6ZRS2	proteoscore	0.321498	NA
NA	SRP19	other	NA	NA	P09132	proteoscore	-0.716689	NA
NA	SRPK2	kin	NA	NA	P78362	proteoscore	-0.331155	NA
NA	SRSF3	other	NA	NA	P84103	proteoscore	0.595803	NA
NA	ST3GAL4	other	NA	NA	Q11206	proteoscore	-0.970017	NA
NA	STAP1	other	NA	NA	Q9ULZ2	proteoscore	-0.650334	NA
NA	STAT1	tf	NA	NA	P42224	PhosphoScore	-3.34022	NA
NA	STIP1	other	NA	NA	P31948	proteoscore	-0.415391	NA
NA	STK38	kin	NA	NA	Q15208	proteoscore	0.290984	NA
NA	STK38L	kin	NA	NA	Q9Y2H1	proteoscore	-1.26877	NA
NA	STRAP	other	NA	NA	Q9Y3F4	proteoscore	-0.527984	NA
NA	STX10	other	NA	NA	O60499	proteoscore	-0.824198	NA
NA	STX11	other	NA	NA	O75558	proteoscore	-0.49918	NA
NA	STX8	other	NA	NA	Q9UNK0	proteoscore	-0.377328	NA
NA	SUFU	tf	NA	NA	Q9UMX1	proteoscore	-2.42239	NA
NA	SUGT1	other	NA	NA	Q9Y2Z0	proteoscore	-0.564114	NA
NA	SUMO2	other	NA	NA	P61956	proteoscore	-1.97964	NA
NA	SUPT3H	tf	NA	NA	O75486	proteoscore	-2.43178	NA
NA	SVIP	other	NA	NA	Q8NHG7	proteoscore	-1.84341	NA
NA	SYTL1	other	NA	NA	Q8IYJ3	proteoscore	0.805716	NA
NA	SYVN1	other	NA	NA	Q86TM6	proteoscore	-0.565363	NA
NA	TAB2	other	NA	NA	Q9NYJ8	proteoscore	0.879732	NA
NA	TADA2B	tf	NA	NA	Q86TJ2	proteoscore	3.6699	NA
NA	TAF12	tf	NA	NA	Q16514	proteoscore	-1.69296	NA
NA	TAF1C	other	NA	NA	Q15572	proteoscore	1.02494	NA
NA	TAF6L	tf	NA	NA	Q9Y6J9	proteoscore	-0.674086	NA
NA	TAF9	tf	NA	NA	Q16594	proteoscore	-0.46707	NA
NA	TAOK1	kin	NA	NA	Q7L7X3	proteoscore	-0.666959	NA
NA	TARS1	other	NA	NA	P26639	proteoscore	-0.32852	NA
NA	TBC1D7	other	NA	NA	Q9P0N9	proteoscore	-2.24149	NA
NA	TBL1X	tf	NA	NA	O60907	proteoscore	0.385505	NA
NA	TBL1XR1	tf	NA	NA	Q9BZK7	proteoscore	0.307789	NA
NA	TCF12	tf	NA	NA	Q99081	proteoscore	-0.364653	NA
NA	TCF20	other	NA	NA	Q9UGU0	proteoscore	-0.639674	NA
NA	TFAM	tf	NA	NA	Q00059	proteoscore	0.510997	NA
NA	TGFBRAP1	other	NA	NA	Q8WUH2	proteoscore	0.507202	NA
NA	THBS1	other	NA	NA	P07996	proteoscore	2.37287	NA
NA	THEM4	other	NA	NA	Q5T1C6	proteoscore	0.448796	NA
NA	TIMELESS	other	NA	NA	Q9UNS1	proteoscore	-0.306458	NA
NA	TOM1L1	other	NA	NA	O75674	proteoscore	-1.14943	NA
NA	TOMM20	other	NA	NA	Q15388	proteoscore	0.404771	NA
NA	TOP1	kin	NA	NA	P11387	proteoscore	0.233296	NA
NA	TOPORS	other	NA	NA	Q9NS56	proteoscore	0.806296	NA
NA	TP53	tf	NA	NA	P04637	proteoscore	0.595655	NA
NA	TP53I3	other	NA	NA	Q53FA7	proteoscore	1.68288	NA
NA	TPM4	other	NA	NA	P67936	proteoscore	-1.41645	NA
NA	TRA2B	other	NA	NA	P62995	proteoscore	0.410623	NA
NA	TRAF3	other	NA	NA	Q13114	proteoscore	1.14014	NA
NA	TRAPPC9	other	NA	NA	Q96Q05	proteoscore	0.254911	NA
NA	TRIM13	tf	NA	NA	O60858	proteoscore	-0.879801	NA
NA	TRIM21	tf	NA	NA	P19474	proteoscore	0.466273	NA
NA	TRIM23	other	NA	NA	P36406	proteoscore	2.497	NA
NA	TRIM26	other	NA	NA	Q12899	proteoscore	-0.558903	NA
NA	TRIM29	other	NA	NA	Q14134	proteoscore	1.63715	NA
NA	TRIM38	tf	NA	NA	O00635	proteoscore	0.476197	NA
NA	TRIM4	other	NA	NA	Q9C037	proteoscore	0.969554	NA
NA	TRIM41	other	NA	NA	Q8WV44	proteoscore	0.65937	NA
NA	TRIM65	other	NA	NA	Q6PJ69	proteoscore	0.249305	NA
NA	TTBK2	kin	NA	NA	Q6IQ55	VIPER	1.186739162	NA
NA	TTC5	other	NA	NA	Q8N0Z6	proteoscore	-0.375993	NA
NA	TTF1	other	NA	NA	Q15361	proteoscore	1.27799	NA
NA	TTF2	other	NA	NA	Q9UNY4	proteoscore	-1.11483	NA
NA	TUBA8	other	NA	NA	Q9NY65	proteoscore	0.86576	NA
NA	TUBB3	other	NA	NA	Q13509	proteoscore	0.611628	NA
NA	TUBB4A	other	NA	NA	P04350	proteoscore	1.04573	NA
NA	TUBG1	other	NA	NA	P23258	proteoscore	-0.418255	NA
NA	TUBGCP4	other	NA	NA	Q9UGJ1	proteoscore	-0.437683	NA
NA	TUBGCP5	other	NA	NA	Q96RT8	proteoscore	-0.91361	NA
NA	TXN2	other	NA	NA	Q99757	proteoscore	0.513971	NA
NA	UBE2B	other	NA	NA	P63146	proteoscore	-0.59557	NA
NA	UBE2C	other	NA	NA	O00762	proteoscore	-1.40564	NA
NA	UBE2E3	other	NA	NA	Q969T4	proteoscore	0.913769	NA
NA	UBE2R2	other	NA	NA	Q712K3	proteoscore	-0.694297	NA
NA	UBE2Z	other	NA	NA	Q9H832	proteoscore	-0.377673	NA
NA	UBE3B	other	NA	NA	Q7Z3V4	proteoscore	0.824839	NA
NA	UBE4A	other	NA	NA	Q14139	proteoscore	-0.232197	NA
NA	UBE4B	other	NA	NA	O95155	proteoscore	-0.283234	NA
NA	UBIAD1	other	NA	NA	Q9Y5Z9	proteoscore	-0.76571	NA
NA	UBQLN2	other	NA	NA	Q9UHD9	proteoscore	-0.701035	NA
NA	UBQLN4	other	NA	NA	Q9NRR5	proteoscore	-0.37225	NA
NA	UBR1	other	NA	NA	Q8IWV7	proteoscore	0.319765	NA
NA	UBXN1	other	NA	NA	Q04323	proteoscore	-0.538913	NA
NA	UBXN2B	other	NA	NA	Q14CS0	proteoscore	-0.568574	NA
NA	UBXN8	other	NA	NA	O00124	proteoscore	-0.891644	NA
NA	UCHL5	other	NA	NA	Q9Y5K5	proteoscore	-0.24258	NA
NA	UCKL1	kin	NA	NA	Q9NWZ5	proteoscore	-0.439677	NA
NA	UFD1	other	NA	NA	Q92890	proteoscore	-1.09264	NA
NA	UHRF2	other	NA	NA	Q96PU4	proteoscore	0.612171	NA
NA	ULK1	kin	NA	NA	O75385	VIPER	0.748324689	NA
NA	UNG	other	NA	NA	P13051	PhosphoScore	-3.40814	NA
NA	UQCRB	other	NA	NA	P14927	proteoscore	0.370043	NA
NA	URI1	tf	NA	NA	O94763	proteoscore	-0.5441	NA
NA	USF2	tf	NA	NA	Q15853	proteoscore	-2.33256	NA
NA	USP14	other	NA	NA	P54578	proteoscore	-0.349612	NA
NA	USP22	tf	NA	NA	Q9UPT9	proteoscore	-0.519277	NA
NA	USP24	other	NA	NA	Q9UPU5	proteoscore	0.25307	NA
NA	USP5	other	NA	NA	P45974	proteoscore	0.204145	NA
NA	UTRN	other	NA	NA	P46939	proteoscore	0.334587	NA
NA	VAMP3	other	NA	NA	Q15836	proteoscore	-1.19301	NA
NA	VAPA	other	NA	NA	Q9P0L0	proteoscore	-0.396918	NA
NA	VAPB	other	NA	NA	O95292	proteoscore	-0.854963	NA
NA	VARS1	other	NA	NA	P26640	proteoscore	-0.29714	NA
NA	VAV2	other	NA	NA	P52735	proteoscore	-0.453673	NA
NA	VDAC1	other	NA	NA	P21796	proteoscore	0.448648	NA
NA	VEZF1	tf	NA	NA	Q14119	proteoscore	0.616952	NA
NA	VHL	tf	NA	NA	P40337	proteoscore	-0.537289	NA
NA	VKORC1L1	other	NA	NA	Q8N0U8	proteoscore	-0.404783	NA
NA	VPS16	other	NA	NA	Q9H269	proteoscore	0.284288	NA
NA	VPS33B	other	NA	NA	Q9H267	proteoscore	0.296676	NA
NA	VPS39	other	NA	NA	Q96JC1	proteoscore	0.525358	NA
NA	VRK2	kin	NA	NA	Q86Y07	VIPER	-0.734032524	NA
NA	WAC	other	NA	NA	Q9BTA9	proteoscore	0.302055	NA
NA	WASF2	other	NA	NA	Q9Y6W5	proteoscore	-0.532536	NA
NA	WDR24	other	NA	NA	Q96S15	proteoscore	0.95184	NA
NA	WDR48	other	NA	NA	Q8TAF3	proteoscore	-0.496951	NA
NA	WDR59	other	NA	NA	Q6PJI9	proteoscore	0.399739	NA
NA	WWOX	tf	NA	NA	Q9NZC7	proteoscore	0.617219	NA
NA	XIAP	other	NA	NA	P98170	proteoscore	-0.78321	NA
NA	XRCC1	other	NA	NA	P18887	proteoscore	0.373575	NA
NA	YARS2	other	NA	NA	Q9Y2Z4	proteoscore	0.55772	NA
NA	ZC3HC1	other	NA	NA	Q86WB0	PhosphoScore	1.50617	NA
NA	ZDHHC2	other	NA	NA	Q9UIJ5	proteoscore	1.27124	NA
NA	ZFP91	other	NA	NA	Q96JP5	proteoscore	-1.02711	NA
NA	ZFPL1	other	NA	NA	O95159	proteoscore	-0.470096	NA
